Spec Sec,Type of,Feature/Function,Test Area,Test Case (Description),Precondition,Test Procedures (Steps),Expected Results,Created By,Automated by,Fully Automatable,Result,Prority,Notes,Observations,,
,Testcase,(Category),(Test ID),Execution,(Inputs),,,,,,,,,,,
,Positive,General Test Case,GEN-01,Verify FW version for this project,None,Flash the Firmware and check the version in Coreserver,Proper version number should be displayed in coreserver,,Supriya,YES,PASS,,"Orion - T.35.2.4
Pegasus - 5.2.153",UDP_Stream_validation_API,,
,Positive,General Test Case,GEN-02,Check the model number,Sensor in paired state,Check the model number in Server / Mobile app,Should get the proper model number,,,,PASS,,Available in App,,,
,Positive,General Test Case,GEN-03,Verify the default device & Settings.,None,Verify the default device & Settings.,The default device should be as per the spec. ,,,,,,,Check CoreConfig->Tags->G4 tag-> Default Profile,,
,Positive,General Test Case,GEN-04,To verify the clock sync between Star and sensor,Sensor in paired condition,"Pair Sensor with Star, then tap clk tp points on both star and sensor and verify the clk sync",Maximum difference in both sensor and star should be less than 1ms,,,,,,,Use toggle pins in star and tag and confirm the synchronization,,
,Positive,Continuous  buttons pressing,CIKP_01,Check for continuous key press,None,"1. Press and hold any key for 100ms.
2. Verify for the key detection and IR reception",When the same key port level is detected through HW key scan the sensor starts to receiving IR code. - TBD,NA,,,,,,G4 tag will receive IR as per the report rate configured,,
,Positive,BLE Local Device Configuration,BLE_CONFIG_01,Check for BD or MAC Address,G4 tag is paired,Check for BD or MAC Address,UE878 should be preprogrammed with a BLE and IEEE802.15.4 MAC Address,,Supriya,YES,PASS,,,UDP_Stream_validation_API,,
,Positive,Manual pairing,MP_01,Verify the maximum number of supported host connection ,None ,Pair the G4 Tag with one host and after disconnection again try to pair with another host . Verify for the pairing information.,"1.This Tag should  pair with only one host. After pairing completes successfully, old pairing information should be removed.
2. Tag shouldn’t remove old pairing information before pairing completes successfully.",,,,,,,,,
,Positive,Manual pairing,MP_02,Check the manual pairing feature,Tag in unpaired state,Press and hold Bottom button(Key1) 2 seconds,"Tag blinks Orange LED twice and starts advertising BLE, We can pair the tag until 1 hour timeout",,Supriya,YES,PASS,,,"UDP_Stream_validation_API
Button Press",,
,Negative,Manual pairing,MP_03,Pressing pairing key for less then 1.5 seconds,Tag in unpaired state,Press and hold the pairing key for less than 1.5 seconds,The Tag should not enter into pairing mode.,,,,PASS,,,,,
,Positive,Manual pairing,MP_04,Check the manual pairing timeout,Tag in unpaired state,Enter in to manual pairing without connecting host and check for pairing timeout.,Tag should be visible for pairing upto 1 hour,,,,,,,,,
,Positive,Manual pairing,MP_06,Check the LED blink timings,Tag unpaired,Enter into pairing mode and check the LED blinking while in pairing mode and after successful pairing,Tag should blink Orange LED twice,,,,,,,,,
,Positive,Manual pairing,MP_07,Check manual pairing when the device is out of range ,Take the Tag out of BT range ,Try to pair the G4 Tag when the Tag is out of range,Pairing should not be successful,,,,,,,,,
