Category,TRD_ID,Technical_Requirement_Description,PRD_Relationship,Owner,Comments
Band,TR-Band-1,Product assembled with Rugged Band shall withstand up to 10kg of pull force without damage to product or Rugged Band.,,,
Band,TR-Band-10,Product shall support black Rugged band color option.,,,
Band,TR-Band-11,Product shall support black Secure band color option.,,,
Band,TR-Band-12,Product assembled with Rugged Band shall withstand up to 10kg of pull force without resulting in a band open condition.,,,
Band,TR-Band-13,Product shall support blue-gray (Pantone 550c) Rugged band color option.,,,
Band,TR-Band-14,Product shall support blue-gray (Pantone 550c) Secure band color option.,,,
Band,TR-Band-15,Product shall support cut band detection with Rugged Band.,,,
Band,TR-Band-16,Product shall support cut band detection with Secure Band.,,,
Band,TR-Band-17,Product shall support maroon (Pantone 483c) Rugged band color option.,,,
Band,TR-Band-18,Product shall support maroon (Pantone 483c) Secure band color option.,,,
Band,TR-Band-19,Product shall support one color option and a black option for the Rugged Band.,,,
Band,TR-Band-2,Product Secure Band shall use a locking mechanism with plunger apparatus which pierces through and establishes an electrical closed circuit between right and left bracelet band conductive mesh.,,,
Band,TR-Band-20,Product shall support one color option and a black option for the Secure Band.,,,
Band,TR-Band-21,Product shall support purple (Pantone 17-3725) Rugged band color option.,,,
Band,TR-Band-22,Product shall support purple (Pantone 17-3725) Secure band color option.,,,
Band,TR-Band-23,Product Rugged Band metal clasp shall use a torque-head screw with center post to prevent patients from removing.,,,
Band,TR-Band-24,Product shall support two additional colors for a total of 3 colors and black for the Rugged Band.,,,
Band,TR-Band-25,Product shall support two additional colors for a total of 3 colors and black for the Secure Band.,,,
Band,TR-Band-26,Product shall transmit band closed event to server periodically as long as band is in a closed state.,,,
Band,TR-Band-27,Product shall transmit band open event to server immediately after a band open event occurs.,,,
Band,TR-Band-28,Product shall transmit band open event to server immediately after a cut band event occurs.,,,
Band,TR-Band-29,Product shall transmit band open event to server periodically as long as band is not in a closed state.,,,
Band,TR-Band-3,Product Secure Band shall use electrical continuity to detect cut band event.,,,
Band,TR-Band-30,"Product shall trigger an auto-admit in the SW when the band ""closes""",,,
Band,TR-Band-31,"Product Rugged Band shall be comprised of two bands containing internal, electrically conductive, metal strips, with exposed contact points for creating a closed electrical circuit between both connection points of the product housing.",,,
Band,TR-Band-32,Product Rugged band shall use a metal clasp to establish electrical closed circuit between right and left bracelet bands.,,,
Band,TR-Band-33,Product Rugged Band shall use electrical continuity to detect clasp open event.,,,
Band,TR-Band-34,Product Rugged Band shall use electrical continuity to detect cut band event.,,,
Band,TR-Band-35,"Product Secure Band shall be comprised of two bands containing internal, electrically conductive, metal mesh, for creating a closed electrical circuit between both connection points of the product housing.",,,
Band,TR-Band-36,Product Secure band shall require a Centrak-specific locking tool to opperate band locking aparatus.,,,
Band,TR-Band-4,Product Secure Band shall use electrical continuity to detect unlock/removal event.,,,
Band,TR-Band-5,Product shall be compatible with Rugged Band.,,,
Band,TR-Band-6,Product shall be compatible with Secure band.,,,
Band,TR-Band-7,Product shall immediately transmit band closed event to server as soon as band closed event occurs.,,,
Band,TR-Band-8,Product shall support band open detection with Rugged Band.,,,
Band,TR-Band-9,Product shall support band open detection with Secure Band.,,,
Battery,TR-Battery-1,A tool shall be required to remove an installed battery from the product.,,,
Battery,TR-Battery-2,Product battery shall be replaceable.,,,
Battery,TR-Battery-3,"Product current draw during factory and inventory sleep states shall be large enough to prevent battery passivation.

NOTE: Applies only if battery used is vulnerable to passivation",,Damian,"does this product use batteries vulnerable to passivation.
Validate battery susceptabiity to passivation."
Battery,TR-Battery-4,"Product shall be capable of achieving a 12 month battery life under the following conditions:

-Within star coverage, and not paging around 85% of the time
-In motion 80% of the time
-In LF coverage 5% of the time
-In IR coverage 85% of the time
-BLE location advertisements not active",,,(This is a product that will be worn by the wearer 24/7 even when sleeping. This percentage is difficult to calculate since I do not know how sensitive the sensor is to motion when someone is lying still sleeping and breathing)
BLE,TR-BLE-1,"Product shall not enable location reporting via BLE when in Safety Solutions mode.

NOTE: Only BLE FW upgrade and product configuration updates are supported in SS mode to reduce battery consumption.",,,
BLE,TR-BLE-10,"Product 31-byte BLE common location advertisement packet shall contain the following fields:
- Length (1 byte)
- Advertisement Type (1 byte)
- Advertisement Flag (1 byte)
- Data Length (1 byte)
- Data Type (1 byte)
- Unique Identifier (4 bytes)
- Header (1 byte)
- Tag ID (4 bytes)
- Device Type (1 byte)
- FW Version (1 byte)
- HW Version (1 byte)
- Room ID (12 bits)
- Data Index (4 bits)
- Motion Flag (1 bit)
- Sleep Flag (1 bit)
- Sync Status-tag in UHF or not (1 bit)
- LF Flag (1 bit)
- Keys (4 bits)
- Cyclic Command (1 byte)
- Battery Voltage Value (2 bytes)
- Tag Profile (5 bytes)
- LBS Status (1 byte)
- Profile Update Counter (4 bits)
- Platform-Orion or Pegasus (1 bit)
- Connectable/Non-Connectable Beacon (1 bit)
- Free Bits (2 bits)
- Checksum (1 byte)",,,
BLE,TR-BLE-11,Product BLE antenna efficiency shall be -10dBi or better.,,,
BLE,TR-BLE-12,Product BLE shall operate at 1Mbps.,,,
BLE,TR-BLE-13,"Product common location advertisement packet shall set all fixed fields as follows for Orion system:
- Length = 0x02
- Advertisement Type = 0x01
- Advertisement Flag = 0x06
- Data Length = 0x1B
- Data Type = 0x20
- Header = 0x01
- Device Type = 0x1E
- Cyclic Command = 0x07",,,
BLE,TR-BLE-14,"Product common location advertisement packet shall set all fixed fields as follows for Pegasus system:
- Length = 0x02
- Advertisement Type = 0x01
- Advertisement Flag = 0x06
- Data Length = 0x1B
- Data Type = 0x20
- Header = 0x01
- Device Type = TBD
- Cyclic Command = 0x07",,Dheepamari,"In pegasus mode, device type field will hold both device type and subtype. Device type is most significant 3 bits and device subtype is least significant 5 bits."
BLE,TR-BLE-15,"Product forced BLE feature shall transmit connectible BLE advertisements according to the following pattern:

Duration: 30, 60, 90, 120s per BLE Duress Timeout configurable parameter
Rate: 1s
",,,
BLE,TR-BLE-16,Product RX BLE performance shall be reduced by no more than 5% as a result of wearing product on skin as it would be worn by end user.,,,
BLE,TR-BLE-17,Product RX BLE performance shall be reduced by no more than 5% when watch face accessory is installed.,,,
BLE,TR-BLE-18,"Product shall continuously transmit BLE connectable advertisements in a forced BLE mode when a ""TURN_ON_BLE"" command is received from the server over UHF.",,,
BLE,TR-BLE-19,Product shall continuously transmit BLE connectable advertisements in a forced BLE mode when the button is pressed and held for greater than 5 seconds.,,,
BLE,TR-BLE-2,Product shall support receiving BLE packets with RSSI >= -85dBm in Pegasus,,,
BLE,TR-BLE-20,"Product shall not report location over BLE when configured for Multi-Mode, in synchronous mode, and in valid IR field, if ""BLE In 900MHz"" is disabled.",,,
BLE,TR-BLE-22,"Product shall support activating BLE connectable advertisements and establishing a connection to BLE Mobile app device, when button is pressed and held for 5s.

NOTE1: Method supports FW upgrade from BLE Mobile App scenario
NOTE2: This will be treated as a button press event and a packet will be sent to server",,,
BLE,TR-BLE-23,"Product shall support activating BLE connectable advertisements and establishing a connection to BLE Mobile app device, when it receives a BLE activation command from server via UHF.

NOTE: Method supports FW upgrade from BLE Mobile App scenario",,,
BLE,TR-BLE-24,Product shall support BLE button press packets compaitble with the Orion system.,,,
BLE,TR-BLE-25,Product shall support BLE button press packets compaitble with the Pegasus system.,,,
BLE,TR-BLE-26,Product shall support BLE location packets compaitble with the Orion system.,,,
BLE,TR-BLE-27,Product shall support BLE location packets compaitble with the Pegasus system.,,,
BLE,TR-BLE-28,"Product shall support BLE received packet RSSI at BLE AP as follows:
- RSSI >= -85dBm
- BLE AP positioned 10ft from ground, flat with antenna side facing down.
- Horizontal distance between BLE AP and product = 35ft
- Spec applies to worst-case product/BLE AP orientation.
- BLE RSSI value reported in Core Server.",,,
BLE,TR-BLE-29,"Product shall support BLE RX packet error rate at BLE AP as follows:
- PER <= 5%
- BLE AP positioned 10ft from ground, flat with antenna side facing down.
- Horizontal distance between BLE AP and product = 35ft
- Spec applies to worst-case product/BLE AP orientation.
- Packet Error Rate measured at BLE AP",,,
BLE,TR-BLE-3,Product shall support receiving BLE packets with RSSI >= -85dBm in Orion,,,
BLE,TR-BLE-30,"Product shall support BLE RX packet error rate at product as follows:
- PER <= 5%
- BLE AP positioned 10ft from ground, flat with antenna side facing down.
- Horizontal distance between BLE AP and product = 35ft
- Spec applies to worst-case product/BLE AP orientation.
- Packet Error Rate measured at Product",,,
BLE,TR-BLE-31,Product shall support Cisco BLE profile.,,,
BLE,TR-BLE-32,Product shall support forced BLE feature via button press.,,,
BLE,TR-BLE-33,Product shall support forced BLE feature via button UHF command.,,,
BLE,TR-BLE-34,"Product shall support location over BLE when configured for Multi-Mode, in synchronous mode, and in valid IR field, if ""BLE In 900MHz"" is enabled.",,,
BLE,TR-BLE-35,Product shall support OTA upgrade packets compatible with Orion system.,,,
BLE,TR-BLE-36,Product shall support OTA upgrade packets compatible with Pegasus system.,,,
BLE,TR-BLE-37,Product shall support profile configuration via Centrak server over BLE.,,,
